,호선,역명,자치구,역번호,미세먼지,이산화탄소,포름알데히드,일산화탄소,공기질점수,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,승객수
187,7호선,공릉,노원구,2718,0.21869782971619378,0.6468842729970327,0.1533742331288344,0.5833333333333333,0.4506146110532441,711699.0,606442.0,521204.0,547954.0,605030.0,633601.0,658036.0,555121.0,521567.0,624414.0,623195.0,511645.0,0.125585520555076
188,7호선,태릉입구,노원구,2719,0.33388981636060094,0.6706231454005934,0.31288343558282206,0.7499999999999999,0.6361398768623251,475410.0,397615.0,344215.0,367769.0,429704.0,437258.0,449867.0,380105.0,357236.0,427591.0,432019.0,348992.0,0.08135388354258478
189,7호선,먹골,중랑구,2720,0.16861435726210364,0.857566765578635,0.34969325153374226,0.6666666666666665,0.6262253856163559,603459.0,524964.0,460709.0,477593.0,525835.0,533138.0,559264.0,479310.0,457674.0,517411.0,524262.0,457554.0,0.10614308446252027
190,7호선,중화,중랑구,2721,0.6143572621035057,0.7418397626112759,0.2147239263803681,0.6666666666666665,0.7040270294105397,650934.0,566342.0,499071.0,516328.0,564190.0,576881.0,605002.0,525412.0,501906.0,557050.0,567233.0,497355.0,0.11600375480690427
191,7호선,상봉,중랑구,2722,0.37562604340567607,0.8694362017804155,0.35582822085889576,0.6666666666666665,0.7159814946773204,998348.0,871657.0,763375.0,793896.0,861022.0,876364.0,921448.0,793112.0,754013.0,863866.0,873242.0,745481.0,0.1839072028518467
192,7호선,면목,중랑구,2723,0.06844741235392322,0.7566765578635015,0.19631901840490795,0.7499999999999999,0.5180877578650533,884186.0,768654.0,699698.0,725623.0,783265.0,814367.0,842198.0,725915.0,706890.0,801664.0,818994.0,700222.0,0.1674741214612288
193,7호선,사가정,중랑구,2724,0.27712854757929895,0.9228486646884273,0.2361963190184049,0.4999999999999999,0.5837967142478457,920060.0,799872.0,722128.0,754371.0,821959.0,838998.0,875167.0,764971.0,750981.0,859372.0,862771.0,754536.0,0.17630262871524008
194,7호선,용마산,중랑구,2725,0.4023372287145243,0.6676557863501483,0.23926380368098157,0.4999999999999999,0.533171222498025,344956.0,301437.0,270847.0,283249.0,307592.0,314070.0,327265.0,279362.0,275455.0,313147.0,313133.0,269597.0,0.057065394922445174
195,7호선,중곡,광진구,2726,0.11519198664440743,0.5370919881305638,0.25153374233128833,0.4999999999999999,0.3714466278072053,560750.0,487612.0,423021.0,435929.0,476309.0,496588.0,525012.0,445686.0,434911.0,492053.0,503543.0,440773.0,0.09837599929295632
196,7호선,군자,광진구,2727,0.22871452420701172,0.884272997032641,0.23312883435582823,0.4999999999999999,0.5478740314610133,776020.0,672765.0,594518.0,620544.0,666129.0,688173.0,725416.0,619505.0,588532.0,661982.0,677606.0,590663.0,0.1404183510541998
197,7호선,어린이대공원,광진구,2728,0.21702838063439064,0.7477744807121661,0.18711656441717792,0.41666666666666663,0.4371706751657706,725776.0,588505.0,504866.0,529850.0,598958.0,610274.0,625240.0,534425.0,520056.0,626630.0,657695.0,520754.0,0.12408891230127536
198,7호선,건대입구,광진구,2729,0.13856427378964936,1.0,0.33128834355828224,0.4999999999999999,0.5972308811076232,909039.0,691124.0,568507.0,606674.0,671735.0,680892.0,733210.0,623839.0,566551.0,671396.0,677934.0,564143.0,0.14203783540287668
199,7호선,청담,강남구,2731,0.06844741235392322,0.6884272997032641,0.3650306748466257,0.4999999999999999,0.45843907590226995,1178124.0,1062782.0,891669.0,914227.0,990193.0,1072792.0,1113123.0,932246.0,887220.0,983741.0,1037584.0,884457.0,0.21957736229876412
200,7호선,강남구청,강남구,2732,0.26377295492487474,0.6409495548961425,0.3220858895705521,0.4999999999999999,0.5002835775988965,911664.0,847562.0,727498.0,745927.0,797766.0,855957.0,892514.0,753198.0,724345.0,802846.0,838956.0,715959.0,0.17414190164383764
201,7호선,학동,강남구,2733,0.5258764607679465,0.8635014836795252,0.6564417177914109,0.7499999999999999,0.9266988209852406,1286665.0,1181190.0,1057885.0,1053395.0,1103381.0,1214811.0,1273964.0,1065096.0,1041258.0,1122653.0,1209372.0,1046752.0,0.2528322433725361
202,7호선,논현,강남구,2734,0.5091819699499165,0.7062314540059347,0.6134969325153374,0.7499999999999999,0.840176407586772,1173213.0,1056192.0,935210.0,959121.0,1008942.0,1074014.0,1129890.0,945493.0,900224.0,1017376.0,1055457.0,887570.0,0.22336456239407484
203,7호선,반포,서초구,2735,0.10183639398998331,0.6053412462908012,0.2791411042944786,0.5833333333333333,0.43759588346144385,363979.0,301556.0,249846.0,270558.0,308649.0,323291.0,339781.0,286240.0,267930.0,295304.0,295116.0,249724.0,0.056128328429580425
204,7호선,고속터미널,서초구,2736,0.1886477462437395,0.9228486646884273,0.43558282208588955,0.6666666666666665,0.694516865794944,1118956.0,781297.0,579219.0,649024.0,775809.0,777492.0,813686.0,721916.0,617257.0,782723.0,794065.0,616506.0,0.16272949232627884
205,7호선,내방,서초구,2737,0.08013355592654431,0.5519287833827893,0.28834355828220853,0.5833333333333333,0.4113040718915739,804194.0,700721.0,614945.0,632302.0,696517.0,736842.0,780544.0,675195.0,642942.0,702346.0,730577.0,629881.0,0.14947351331021425
206,7호선,이수,동작구,2738,0.21368948247078456,0.7329376854599406,0.3374233128834356,0.6666666666666665,0.5895979811333424,976659.0,829845.0,693927.0,734738.0,804869.0,830023.0,875774.0,745639.0,694439.0,793312.0,806468.0,661320.0,0.17088741769812893
207,7호선,남성,동작구,2739,0.19866444073455766,0.5905044510385756,0.23926380368098157,0.4999999999999999,0.4211539865306787,641442.0,548280.0,473552.0,498377.0,552325.0,571370.0,595883.0,517535.0,496638.0,557042.0,569954.0,486139.0,0.1136839234383815
208,7호선,숭실대입구,동작구,2740,0.1202003338898164,0.516320474777448,0.36809815950920244,0.4999999999999999,0.4116549880954446,744263.0,602264.0,498613.0,538984.0,605721.0,658463.0,647719.0,552176.0,536466.0,635772.0,636533.0,524517.0,0.12678436062965823
209,7호선,상도,동작구,2741,0.25709515859766285,0.42729970326409494,0.22085889570552147,0.4999999999999999,0.37201944641443624,628243.0,523527.0,438276.0,461604.0,506957.0,533344.0,564126.0,489271.0,466197.0,519758.0,541193.0,454749.0,0.10626128846253428
210,7호선,장승배기,동작구,2742,0.08347245409015024,0.516320474777448,0.22392638036809814,0.5833333333333333,0.37273699917791453,610902.0,516126.0,436811.0,456495.0,507244.0,520779.0,549254.0,473960.0,445650.0,498081.0,509223.0,434794.0,0.10299226262156694
211,7호선,신대방삼거리,동작구,2743,0.49415692821368956,0.37091988130563797,0.3159509202453988,0.6666666666666665,0.5485034922445476,948787.0,820369.0,713353.0,744608.0,806854.0,843323.0,882514.0,768182.0,738288.0,816116.0,837310.0,728508.0,0.17480417109055646
212,7호선,보라매,동작구,2744,0.5008347245409015,0.3026706231454006,1.0,0.4999999999999999,0.7303207887245045,547036.0,477741.0,404758.0,433837.0,496666.0,518631.0,540935.0,451731.0,436767.0,490868.0,509472.0,424533.0,0.09858600995701285
213,7호선,신풍,영등포구,2745,0.5525876460767948,0.47774480712166173,0.34969325153374226,0.7499999999999999,0.6611219254909974,664310.0,550612.0,479454.0,513628.0,559334.0,573974.0,609212.0,534885.0,514822.0,582027.0,602985.0,520901.0,0.11753075114437125
214,7호선,대림,영등포구,2746,0.5759599332220366,0.5905044510385756,0.41411042944785276,0.6666666666666665,0.7078778346536114,605063.0,367136.0,304300.0,357638.0,427272.0,428328.0,454619.0,423578.0,407114.0,460233.0,444734.0,369958.0,0.08528996772750475
215,7호선,가산디지털단지,금천구,2748,0.38063439065108506,0.42433234421364985,0.47239263803680975,0.4999999999999999,0.52044772967271,2312655.0,2097458.0,1874354.0,1966124.0,2043994.0,2247832.0,2344034.0,1936880.0,1940086.0,2095435.0,2234533.0,1970085.0,0.4748939531801587
216,8호선,암사,강동구,2811,0.33222036727879806,0.7032640949554896,0.19938650306748468,0.4999999999999999,0.5034996344585413,1033661.0,881493.0,767695.0,809870.0,885852.0,930499.0,975203.0,830364.0,797239.0,898108.0,922582.0,798165.0,0.19198422311433277
217,8호선,천호,강동구,2812,0.25876460767946574,0.3916913946587537,0.20245398773006135,0.3333333333333333,0.2846589191360256,1118092.0,947086.0,802164.0,847427.0,916136.0,939930.0,979472.0,824735.0,757599.0,874083.0,884522.0,747627.0,0.1940894301251226
218,8호선,강동구청,강동구,2813,0.2537562604340568,0.5489614243323442,0.1257668711656442,0.4999999999999999,0.38128592178569304,630159.0,528104.0,449108.0,465292.0,516677.0,542968.0,574908.0,483384.0,462544.0,517991.0,538855.0,468051.0,0.1072501373401219
219,8호선,몽촌토성,송파구,2814,0.17028380634390655,0.6172106824925816,0.2177914110429448,0.5833333333333333,0.44516164485841175,334198.0,274939.0,240356.0,260978.0,285585.0,285414.0,303996.0,255462.0,246980.0,308839.0,302924.0,248951.0,0.052169662452826435
220,8호선,잠실,송파구,2815,0.27879799666110183,0.7596439169139466,0.31288343558282206,0.4999999999999999,0.5499518339453277,1042917.0,777976.0,649164.0,676709.0,763548.0,775511.0,845739.0,736273.0,652372.0,786665.0,799468.0,656859.0,0.1653624319188177
221,8호선,석촌,송파구,2816,0.48080133555926535,0.6498516320474778,0.18711656441717792,0.4999999999999999,0.5365668375215394,507704.0,420753.0,361190.0,379384.0,414601.0,422842.0,450192.0,381652.0,361204.0,418948.0,426623.0,357982.0,0.08243029526471506
222,8호선,송파,송파구,2817,0.26377295492487474,0.6735905044510386,0.22392638036809814,0.5833333333333333,0.5073896683587443,538942.0,429366.0,357129.0,379356.0,427853.0,456249.0,480525.0,399900.0,365136.0,408241.0,417403.0,344514.0,0.08440696126560822
223,8호선,가락시장,송파구,2818,0.4590984974958263,0.6884272997032641,0.13190184049079753,0.4999999999999999,0.5212727346691586,519895.0,419781.0,369898.0,392156.0,421103.0,435131.0,459161.0,381403.0,392316.0,430564.0,441395.0,380809.0,0.08516613774659415
224,8호선,문정,송파구,2819,0.37228714524207,0.7685459940652819,0.06441717791411045,0.6666666666666665,0.5581655798995458,1116603.0,1026102.0,906760.0,920081.0,959398.0,1059192.0,1117597.0,926074.0,911673.0,992204.0,1064375.0,923072.0,0.2190901601399448
225,8호선,장지,송파구,2820,0.1736227045075126,0.5014836795252225,0.5920245398773006,0.41666666666666663,0.48312710306355333,1042110.0,858305.0,718292.0,772269.0,849632.0,893988.0,940469.0,799729.0,760153.0,863605.0,887353.0,758165.0,0.18445706948300544
226,8호선,복정,송파구,2821,0.3956594323873122,0.6261127596439169,0.09202453987730061,0.4999999999999999,0.4552046346821277,565219.0,484557.0,403595.0,431762.0,481936.0,513109.0,535304.0,439568.0,421022.0,503931.0,518740.0,424009.0,0.09838699818294444
